@relation soccer_combined

@attribute x0 numeric
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute class {home,draw,away}

@data
5.0,3.5,1.73,142.0,55.0,49.0,52.0,47.0,46.0,200.0,60.0,70.0,70.0,70.0,60.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
2.7,3.0,2.75,123.0,54.0,32.0,52.0,28.0,63.0,168.0,57.0,68.0,67.0,47.0,53.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
2.62,3.25,2.75,135.0,37.0,38.0,54.0,34.0,63.0,110.0,45.0,30.0,45.0,45.0,35.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.5,3.75,6.5,149.0,47.0,56.0,42.0,49.0,44.0,143.0,58.0,55.0,44.0,50.0,38.0,3.0,0.0,3.0,1.0,0.0,3.0,-3.0,0.0,home
1.91,3.4,4.33,168.0,42.0,63.0,56.0,39.0,66.0,170.0,55.0,55.0,70.0,45.0,70.0,4.0,2.0,2.0,1.0,2.0,4.0,-2.0,0.0,home
2.38,3.3,3.0,200.0,65.0,70.0,60.0,60.0,70.0,172.0,48.0,62.0,60.0,50.0,60.0,1.0,2.0,-1.0,0.0,2.0,1.0,1.0,1.0,away
2.1,3.3,3.6,169.0,50.0,59.0,42.0,50.0,60.0,140.0,39.0,49.0,59.0,39.0,52.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.8,3.5,4.5,170.0,68.0,57.0,69.0,58.0,55.0,126.0,49.0,45.0,23.0,40.0,41.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
6.5,4.0,1.5,190.0,70.0,60.0,70.0,60.0,70.0,131.0,48.0,38.0,53.0,48.0,45.0,1.4,1.4,0.0,0.33,1.4,1.4,0.0,0.33,away
1.25,5.5,12.0,163.0,60.0,61.0,63.0,52.0,50.0,135.0,55.0,50.0,55.0,30.0,55.0,4.0,3.0,1.0,1.0,3.0,4.0,-1.0,0.0,home
2.2,3.3,3.25,170.0,40.0,50.0,65.0,55.0,65.0,141.0,46.0,53.0,49.0,32.0,56.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
2.9,3.25,2.25,170.0,63.0,70.0,49.0,28.0,72.0,135.0,43.0,48.0,50.0,43.0,44.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
2.75,3.0,2.7,145.0,46.0,37.0,53.0,39.0,69.0,178.0,53.0,68.0,69.0,59.0,51.0,1.0,3.0,-2.0,0.0,3.0,1.0,2.0,1.0,away
2.88,3.0,2.6,153.0,47.0,49.0,34.0,56.0,48.0,142.0,46.0,49.0,51.0,44.0,49.0,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,draw
2.4,3.1,3.1,124.0,34.0,37.0,37.0,35.0,52.0,160.0,46.0,62.0,60.0,49.0,49.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
2.38,3.1,2.88,110.0,45.0,50.0,55.0,30.0,30.0,136.0,42.0,53.0,53.0,42.0,41.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
2.1,3.1,3.75,137.0,52.0,52.0,57.0,36.0,49.0,124.0,34.0,37.0,37.0,35.0,52.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,draw
2.6,3.3,2.75,157.0,54.0,47.0,39.0,56.0,54.0,150.0,60.0,50.0,35.0,45.0,55.0,1.0,2.6,-1.6,0.0,1.4,0.4,1.0,1.0,away
2.5,2.88,3.2,125.0,50.0,30.0,49.0,40.0,55.0,100.0,55.0,30.0,60.0,35.0,35.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
1.62,3.6,6.0,160.0,42.0,52.0,56.0,50.0,58.0,160.0,30.0,45.0,55.0,55.0,60.0,0.6,1.2,-0.6,0.2,0.8,0.2,0.6,0.8,away
